restaurantID,visitDate,dayOfWeek,holiday,reservedVisitors,actualVisitors
air_326ca454ef3558bc,2016-03-27,Sunday,0,0,21
air_326ca454ef3558bc,2016-03-28,Monday,0,12,25
air_326ca454ef3558bc,2016-03-29,Tuesday,0,24,40
air_326ca454ef3558bc,2016-03-30,Wednesday,0,17,21
air_326ca454ef3558bc,2016-04-01,Friday,0,5,22
air_326ca454ef3558bc,2016-04-02,Saturday,0,10,34
air_326ca454ef3558bc,2016-04-03,Sunday,0,6,29
air_326ca454ef3558bc,2016-04-04,Monday,0,0,4
air_326ca454ef3558bc,2016-04-05,Tuesday,0,15,25
air_326ca454ef3558bc,2016-04-06,Wednesday,0,2,8
air_326ca454ef3558bc,2016-04-08,Friday,0,57,78
air_326ca454ef3558bc,2016-04-09,Saturday,0,27,62
air_326ca454ef3558bc,2016-04-10,Sunday,0,2,11
air_326ca454ef3558bc,2016-04-12,Tuesday,0,7,21
air_326ca454ef3558bc,2016-04-13,Wednesday,0,0,19
air_326ca454ef3558bc,2016-04-14,Thursday,0,0,5
air_326ca454ef3558bc,2016-04-15,Friday,0,20,43
air_326ca454ef3558bc,2016-04-16,Saturday,0,41,36
air_326ca454ef3558bc,2016-04-17,Sunday,0,4,32
air_326ca454ef3558bc,2016-04-19,Tuesday,0,11,15
air_326ca454ef3558bc,2016-04-20,Wednesday,0,10,12
air_326ca454ef3558bc,2016-04-21,Thursday,0,33,39
air_326ca454ef3558bc,2016-04-22,Friday,0,37,55
air_326ca454ef3558bc,2016-04-23,Saturday,0,41,58
air_326ca454ef3558bc,2016-04-24,Sunday,0,41,54
air_326ca454ef3558bc,2016-04-25,Monday,0,0,2
air_326ca454ef3558bc,2016-04-26,Tuesday,0,12,17
air_326ca454ef3558bc,2016-04-27,Wednesday,0,19,26
air_326ca454ef3558bc,2016-04-28,Thursday,0,31,47
air_326ca454ef3558bc,2016-04-29,Friday,1,4,31
air_326ca454ef3558bc,2016-04-30,Saturday,0,20,43
air_326ca454ef3558bc,2016-05-01,Sunday,0,24,66
air_326ca454ef3558bc,2016-05-02,Monday,0,2,22
air_326ca454ef3558bc,2016-05-03,Tuesday,1,42,55
air_326ca454ef3558bc,2016-05-04,Wednesday,1,19,61
air_326ca454ef3558bc,2016-05-05,Thursday,1,7,15
air_326ca454ef3558bc,2016-05-06,Friday,0,9,12
air_326ca454ef3558bc,2016-05-07,Saturday,0,32,44
air_326ca454ef3558bc,2016-05-08,Sunday,0,14,42
air_326ca454ef3558bc,2016-05-09,Monday,0,0,3
air_326ca454ef3558bc,2016-05-10,Tuesday,0,5,14
air_326ca454ef3558bc,2016-05-11,Wednesday,0,8,12
air_326ca454ef3558bc,2016-05-12,Thursday,0,3,9
air_326ca454ef3558bc,2016-05-13,Friday,0,26,35
air_326ca454ef3558bc,2016-05-14,Saturday,0,7,48
air_326ca454ef3558bc,2016-05-15,Sunday,0,2,21
air_326ca454ef3558bc,2016-05-17,Tuesday,0,9,7
air_326ca454ef3558bc,2016-05-18,Wednesday,0,8,21
air_326ca454ef3558bc,2016-05-19,Thursday,0,16,20
air_326ca454ef3558bc,2016-05-20,Friday,0,25,33
air_326ca454ef3558bc,2016-05-21,Saturday,0,26,51
air_326ca454ef3558bc,2016-05-22,Sunday,0,36,48
air_326ca454ef3558bc,2016-05-24,Tuesday,0,9,17
air_326ca454ef3558bc,2016-05-25,Wednesday,0,30,37
air_326ca454ef3558bc,2016-05-26,Thursday,0,9,16
air_326ca454ef3558bc,2016-05-27,Friday,0,22,51
air_326ca454ef3558bc,2016-05-28,Saturday,0,10,28
air_326ca454ef3558bc,2016-05-29,Sunday,0,0,11
air_326ca454ef3558bc,2016-05-30,Monday,0,11,6
air_326ca454ef3558bc,2016-05-31,Tuesday,0,0,11
air_326ca454ef3558bc,2016-06-01,Wednesday,0,7,18
air_326ca454ef3558bc,2016-06-02,Thursday,0,8,29
air_326ca454ef3558bc,2016-06-03,Friday,0,33,34
air_326ca454ef3558bc,2016-06-04,Saturday,0,16,35
air_326ca454ef3558bc,2016-06-05,Sunday,0,3,19
air_326ca454ef3558bc,2016-06-06,Monday,0,0,2
air_326ca454ef3558bc,2016-06-07,Tuesday,0,6,14
air_326ca454ef3558bc,2016-06-08,Wednesday,0,13,21
air_326ca454ef3558bc,2016-06-09,Thursday,0,5,13
air_326ca454ef3558bc,2016-06-10,Friday,0,14,24
air_326ca454ef3558bc,2016-06-11,Saturday,0,26,42
air_326ca454ef3558bc,2016-06-12,Sunday,0,9,29
air_326ca454ef3558bc,2016-06-16,Thursday,0,8,15
air_326ca454ef3558bc,2016-06-17,Friday,0,26,34
air_326ca454ef3558bc,2016-06-18,Saturday,0,36,57
air_326ca454ef3558bc,2016-06-19,Sunday,0,0,9
air_326ca454ef3558bc,2016-06-21,Tuesday,0,3,12
air_326ca454ef3558bc,2016-06-22,Wednesday,0,37,44
air_326ca454ef3558bc,2016-06-23,Thursday,0,2,8
air_326ca454ef3558bc,2016-06-24,Friday,0,37,43
air_326ca454ef3558bc,2016-06-25,Saturday,0,48,56
air_326ca454ef3558bc,2016-06-26,Sunday,0,14,38
air_326ca454ef3558bc,2016-06-27,Monday,0,2,5
air_326ca454ef3558bc,2016-06-29,Wednesday,0,22,27
air_326ca454ef3558bc,2016-06-30,Thursday,0,9,13
air_326ca454ef3558bc,2016-07-01,Friday,0,41,44
air_326ca454ef3558bc,2016-07-02,Saturday,0,36,40
air_326ca454ef3558bc,2016-07-03,Sunday,0,13,14
air_326ca454ef3558bc,2016-07-04,Monday,0,0,12
air_326ca454ef3558bc,2016-07-05,Tuesday,0,25,33
air_326ca454ef3558bc,2016-07-06,Wednesday,0,2,14
air_326ca454ef3558bc,2016-07-07,Thursday,0,0,6
air_326ca454ef3558bc,2016-07-08,Friday,0,15,20
air_326ca454ef3558bc,2016-07-09,Saturday,0,36,53
air_326ca454ef3558bc,2016-07-10,Sunday,0,12,23
air_326ca454ef3558bc,2016-07-11,Monday,0,0,3
air_326ca454ef3558bc,2016-07-12,Tuesday,0,6,16
air_326ca454ef3558bc,2016-07-13,Wednesday,0,0,11
air_326ca454ef3558bc,2016-07-14,Thursday,0,15,19
air_326ca454ef3558bc,2016-07-15,Friday,0,32,49
air_326ca454ef3558bc,2016-07-16,Saturday,0,37,53
air_326ca454ef3558bc,2016-07-17,Sunday,0,22,50
air_326ca454ef3558bc,2016-07-18,Monday,1,11,20
air_326ca454ef3558bc,2016-07-19,Tuesday,0,0,3
air_326ca454ef3558bc,2016-07-20,Wednesday,0,0,22
air_326ca454ef3558bc,2016-07-21,Thursday,0,0,5
air_326ca454ef3558bc,2016-07-22,Friday,0,0,36
air_326ca454ef3558bc,2016-07-23,Saturday,0,0,40
air_326ca454ef3558bc,2016-07-24,Sunday,0,0,49
air_326ca454ef3558bc,2016-07-26,Tuesday,0,0,28
air_326ca454ef3558bc,2016-07-27,Wednesday,0,0,24
air_326ca454ef3558bc,2016-07-28,Thursday,0,0,19
air_326ca454ef3558bc,2016-07-29,Friday,0,0,26
air_326ca454ef3558bc,2016-07-30,Saturday,0,0,37
air_326ca454ef3558bc,2016-07-31,Sunday,0,0,5
air_326ca454ef3558bc,2016-08-02,Tuesday,0,0,12
air_326ca454ef3558bc,2016-08-03,Wednesday,0,0,4
air_326ca454ef3558bc,2016-08-04,Thursday,0,0,3
air_326ca454ef3558bc,2016-08-05,Friday,0,0,50
air_326ca454ef3558bc,2016-08-06,Saturday,0,0,19
air_326ca454ef3558bc,2016-08-07,Sunday,0,0,12
air_326ca454ef3558bc,2016-08-09,Tuesday,0,0,10
air_326ca454ef3558bc,2016-08-10,Wednesday,0,0,68
air_326ca454ef3558bc,2016-08-11,Thursday,1,0,37
air_326ca454ef3558bc,2016-08-12,Friday,0,0,41
air_326ca454ef3558bc,2016-08-13,Saturday,1,0,35
air_326ca454ef3558bc,2016-08-14,Sunday,1,0,32
air_326ca454ef3558bc,2016-08-15,Monday,1,0,36
air_326ca454ef3558bc,2016-08-16,Tuesday,0,0,4
air_326ca454ef3558bc,2016-08-17,Wednesday,0,0,16
air_326ca454ef3558bc,2016-08-18,Thursday,0,0,12
air_326ca454ef3558bc,2016-08-19,Friday,0,0,47
air_326ca454ef3558bc,2016-08-20,Saturday,0,0,40
air_326ca454ef3558bc,2016-08-21,Sunday,0,0,20
air_326ca454ef3558bc,2016-08-22,Monday,0,0,4
air_326ca454ef3558bc,2016-08-23,Tuesday,0,0,25
air_326ca454ef3558bc,2016-08-24,Wednesday,0,0,39
air_326ca454ef3558bc,2016-08-25,Thursday,0,0,16
air_326ca454ef3558bc,2016-08-26,Friday,0,0,46
air_326ca454ef3558bc,2016-08-27,Saturday,0,0,49
air_326ca454ef3558bc,2016-08-28,Sunday,0,0,5
air_326ca454ef3558bc,2016-08-29,Monday,0,0,5
air_326ca454ef3558bc,2016-08-30,Tuesday,0,0,24
air_326ca454ef3558bc,2016-08-31,Wednesday,0,0,18
air_326ca454ef3558bc,2016-09-01,Thursday,0,0,7
air_326ca454ef3558bc,2016-09-02,Friday,0,0,82
air_326ca454ef3558bc,2016-09-03,Saturday,0,0,62
air_326ca454ef3558bc,2016-09-04,Sunday,0,0,44
air_326ca454ef3558bc,2016-09-06,Tuesday,0,0,10
air_326ca454ef3558bc,2016-09-07,Wednesday,0,0,8
air_326ca454ef3558bc,2016-09-08,Thursday,0,0,6
air_326ca454ef3558bc,2016-09-09,Friday,0,0,44
air_326ca454ef3558bc,2016-09-10,Saturday,0,0,43
air_326ca454ef3558bc,2016-09-11,Sunday,0,0,9
air_326ca454ef3558bc,2016-09-12,Monday,0,0,13
air_326ca454ef3558bc,2016-09-13,Tuesday,0,0,14
air_326ca454ef3558bc,2016-09-14,Wednesday,0,0,32
air_326ca454ef3558bc,2016-09-15,Thursday,0,0,17
air_326ca454ef3558bc,2016-09-16,Friday,0,0,14
air_326ca454ef3558bc,2016-09-17,Saturday,0,0,41
air_326ca454ef3558bc,2016-09-18,Sunday,0,0,18
air_326ca454ef3558bc,2016-09-19,Monday,1,0,21
air_326ca454ef3558bc,2016-09-20,Tuesday,0,0,8
air_326ca454ef3558bc,2016-09-22,Thursday,1,0,18
air_326ca454ef3558bc,2016-09-23,Friday,0,0,32
air_326ca454ef3558bc,2016-09-24,Saturday,0,0,47
air_326ca454ef3558bc,2016-09-25,Sunday,0,0,24
air_326ca454ef3558bc,2016-09-27,Tuesday,0,0,12
air_326ca454ef3558bc,2016-09-28,Wednesday,0,0,19
air_326ca454ef3558bc,2016-09-29,Thursday,0,0,21
air_326ca454ef3558bc,2016-09-30,Friday,0,0,39
air_326ca454ef3558bc,2016-10-01,Saturday,0,0,37
air_326ca454ef3558bc,2016-10-02,Sunday,0,0,26
air_326ca454ef3558bc,2016-10-04,Tuesday,0,0,8
air_326ca454ef3558bc,2016-10-05,Wednesday,0,0,12
air_326ca454ef3558bc,2016-10-06,Thursday,0,0,39
air_326ca454ef3558bc,2016-10-07,Friday,0,0,26
air_326ca454ef3558bc,2016-10-08,Saturday,0,0,34
air_326ca454ef3558bc,2016-10-09,Sunday,0,0,32
air_326ca454ef3558bc,2016-10-10,Monday,1,0,10
air_326ca454ef3558bc,2016-10-11,Tuesday,0,0,1
air_326ca454ef3558bc,2016-10-12,Wednesday,0,0,28
air_326ca454ef3558bc,2016-10-13,Thursday,0,0,18
air_326ca454ef3558bc,2016-10-14,Friday,0,0,50
air_326ca454ef3558bc,2016-10-15,Saturday,0,0,48
air_326ca454ef3558bc,2016-10-16,Sunday,0,0,16
air_326ca454ef3558bc,2016-10-18,Tuesday,0,0,15
air_326ca454ef3558bc,2016-10-19,Wednesday,0,0,11
air_326ca454ef3558bc,2016-10-20,Thursday,0,0,19
air_326ca454ef3558bc,2016-10-21,Friday,0,0,53
air_326ca454ef3558bc,2016-10-22,Saturday,0,0,77
air_326ca454ef3558bc,2016-10-23,Sunday,0,0,25
air_326ca454ef3558bc,2016-10-25,Tuesday,0,0,25
air_326ca454ef3558bc,2016-10-26,Wednesday,0,0,15
air_326ca454ef3558bc,2016-10-27,Thursday,0,15,28
air_326ca454ef3558bc,2016-10-28,Friday,0,14,27
air_326ca454ef3558bc,2016-10-29,Saturday,0,13,45
air_326ca454ef3558bc,2016-10-30,Sunday,0,14,27
air_326ca454ef3558bc,2016-11-01,Tuesday,0,10,28
air_326ca454ef3558bc,2016-11-02,Wednesday,0,4,30
air_326ca454ef3558bc,2016-11-03,Thursday,1,0,25
air_326ca454ef3558bc,2016-11-04,Friday,0,17,23
air_326ca454ef3558bc,2016-11-05,Saturday,0,24,27
air_326ca454ef3558bc,2016-11-06,Sunday,0,0,8
air_326ca454ef3558bc,2016-11-07,Monday,0,7,19
air_326ca454ef3558bc,2016-11-08,Tuesday,0,11,14
air_326ca454ef3558bc,2016-11-09,Wednesday,0,0,5
air_326ca454ef3558bc,2016-11-10,Thursday,0,15,21
air_326ca454ef3558bc,2016-11-11,Friday,0,3,14
air_326ca454ef3558bc,2016-11-12,Saturday,0,21,54
air_326ca454ef3558bc,2016-11-13,Sunday,0,0,14
air_326ca454ef3558bc,2016-11-15,Tuesday,0,10,23
air_326ca454ef3558bc,2016-11-16,Wednesday,0,4,6
air_326ca454ef3558bc,2016-11-17,Thursday,0,4,8
air_326ca454ef3558bc,2016-11-18,Friday,0,19,29
air_326ca454ef3558bc,2016-11-19,Saturday,0,38,46
air_326ca454ef3558bc,2016-11-20,Sunday,0,5,31
air_326ca454ef3558bc,2016-11-22,Tuesday,0,13,23
air_326ca454ef3558bc,2016-11-24,Thursday,0,10,52
air_326ca454ef3558bc,2016-11-25,Friday,0,9,25
air_326ca454ef3558bc,2016-11-26,Saturday,0,36,64
air_326ca454ef3558bc,2016-11-27,Sunday,0,9,16
air_326ca454ef3558bc,2016-11-29,Tuesday,0,37,38
air_326ca454ef3558bc,2016-11-30,Wednesday,0,5,10
air_326ca454ef3558bc,2016-12-01,Thursday,0,0,4
air_326ca454ef3558bc,2016-12-02,Friday,0,32,39
air_326ca454ef3558bc,2016-12-03,Saturday,0,68,84
air_326ca454ef3558bc,2016-12-04,Sunday,0,0,20
air_326ca454ef3558bc,2016-12-06,Tuesday,0,0,10
air_326ca454ef3558bc,2016-12-07,Wednesday,0,9,15
air_326ca454ef3558bc,2016-12-08,Thursday,0,3,6
air_326ca454ef3558bc,2016-12-09,Friday,0,31,38
air_326ca454ef3558bc,2016-12-10,Saturday,0,65,81
air_326ca454ef3558bc,2016-12-11,Sunday,0,53,62
air_326ca454ef3558bc,2016-12-13,Tuesday,0,21,24
air_326ca454ef3558bc,2016-12-14,Wednesday,0,41,54
air_326ca454ef3558bc,2016-12-15,Thursday,0,41,41
air_326ca454ef3558bc,2016-12-16,Friday,0,59,75
air_326ca454ef3558bc,2016-12-17,Saturday,0,80,67
air_326ca454ef3558bc,2016-12-18,Sunday,0,16,61
air_326ca454ef3558bc,2016-12-20,Tuesday,0,24,29
air_326ca454ef3558bc,2016-12-21,Wednesday,0,32,40
air_326ca454ef3558bc,2016-12-22,Thursday,0,41,59
air_326ca454ef3558bc,2016-12-23,Friday,1,34,38
air_326ca454ef3558bc,2016-12-24,Saturday,0,39,56
air_326ca454ef3558bc,2016-12-25,Sunday,0,13,32
air_326ca454ef3558bc,2016-12-26,Monday,0,37,48
air_326ca454ef3558bc,2016-12-27,Tuesday,0,43,45
air_326ca454ef3558bc,2016-12-28,Wednesday,0,45,72
air_326ca454ef3558bc,2016-12-29,Thursday,1,65,73
air_326ca454ef3558bc,2016-12-30,Friday,1,79,83
air_326ca454ef3558bc,2016-12-31,Saturday,1,18,36
air_326ca454ef3558bc,2017-01-02,Monday,1,36,60
air_326ca454ef3558bc,2017-01-03,Tuesday,1,26,56
air_326ca454ef3558bc,2017-01-04,Wednesday,0,9,16
air_326ca454ef3558bc,2017-01-05,Thursday,0,0,6
air_326ca454ef3558bc,2017-01-06,Friday,0,23,21
air_326ca454ef3558bc,2017-01-07,Saturday,0,36,53
air_326ca454ef3558bc,2017-01-08,Sunday,0,33,43
air_326ca454ef3558bc,2017-01-09,Monday,1,0,13
air_326ca454ef3558bc,2017-01-10,Tuesday,0,30,38
air_326ca454ef3558bc,2017-01-11,Wednesday,0,4,17
air_326ca454ef3558bc,2017-01-12,Thursday,0,20,20
air_326ca454ef3558bc,2017-01-13,Friday,0,20,37
air_326ca454ef3558bc,2017-01-14,Saturday,0,47,51
air_326ca454ef3558bc,2017-01-16,Monday,0,0,16
air_326ca454ef3558bc,2017-01-17,Tuesday,0,29,29
air_326ca454ef3558bc,2017-01-18,Wednesday,0,6,8
air_326ca454ef3558bc,2017-01-19,Thursday,0,0,7
air_326ca454ef3558bc,2017-01-20,Friday,0,36,49
air_326ca454ef3558bc,2017-01-21,Saturday,0,26,46
air_326ca454ef3558bc,2017-01-22,Sunday,0,9,12
air_326ca454ef3558bc,2017-01-23,Monday,0,10,19
air_326ca454ef3558bc,2017-01-24,Tuesday,0,15,17
air_326ca454ef3558bc,2017-01-25,Wednesday,0,33,35
air_326ca454ef3558bc,2017-01-26,Thursday,0,16,21
air_326ca454ef3558bc,2017-01-27,Friday,0,17,44
air_326ca454ef3558bc,2017-01-28,Saturday,0,35,66
air_326ca454ef3558bc,2017-01-29,Sunday,0,11,18
air_326ca454ef3558bc,2017-01-30,Monday,0,7,18
air_326ca454ef3558bc,2017-01-31,Tuesday,0,3,21
air_326ca454ef3558bc,2017-02-01,Wednesday,0,2,5
air_326ca454ef3558bc,2017-02-02,Thursday,0,0,12
air_326ca454ef3558bc,2017-02-03,Friday,0,12,24
air_326ca454ef3558bc,2017-02-04,Saturday,0,32,42
air_326ca454ef3558bc,2017-02-05,Sunday,0,4,8
air_326ca454ef3558bc,2017-02-06,Monday,0,19,24
air_326ca454ef3558bc,2017-02-08,Wednesday,0,5,11
air_326ca454ef3558bc,2017-02-09,Thursday,0,10,23
air_326ca454ef3558bc,2017-02-10,Friday,0,31,41
air_326ca454ef3558bc,2017-02-11,Saturday,1,20,46
air_326ca454ef3558bc,2017-02-12,Sunday,0,8,22
air_326ca454ef3558bc,2017-02-13,Monday,0,4,15
air_326ca454ef3558bc,2017-02-14,Tuesday,0,4,15
air_326ca454ef3558bc,2017-02-15,Wednesday,0,25,31
air_326ca454ef3558bc,2017-02-16,Thursday,0,5,7
air_326ca454ef3558bc,2017-02-17,Friday,0,20,28
air_326ca454ef3558bc,2017-02-18,Saturday,0,28,44
air_326ca454ef3558bc,2017-02-19,Sunday,0,14,20
air_326ca454ef3558bc,2017-02-20,Monday,0,10,13
air_326ca454ef3558bc,2017-02-21,Tuesday,0,14,23
air_326ca454ef3558bc,2017-02-22,Wednesday,0,16,25
air_326ca454ef3558bc,2017-02-23,Thursday,0,2,6
air_326ca454ef3558bc,2017-02-24,Friday,0,41,45
air_326ca454ef3558bc,2017-02-25,Saturday,0,38,54
air_326ca454ef3558bc,2017-02-26,Sunday,0,10,32
air_326ca454ef3558bc,2017-02-27,Monday,0,29,33
air_326ca454ef3558bc,2017-02-28,Tuesday,0,10,12
air_326ca454ef3558bc,2017-03-01,Wednesday,0,10,19
air_326ca454ef3558bc,2017-03-02,Thursday,0,5,9
air_326ca454ef3558bc,2017-03-03,Friday,0,15,17
air_326ca454ef3558bc,2017-03-04,Saturday,0,31,38
air_326ca454ef3558bc,2017-03-05,Sunday,0,5,14
air_326ca454ef3558bc,2017-03-06,Monday,0,2,13
air_326ca454ef3558bc,2017-03-07,Tuesday,0,0,6
air_326ca454ef3558bc,2017-03-08,Wednesday,0,8,18
air_326ca454ef3558bc,2017-03-09,Thursday,0,2,13
air_326ca454ef3558bc,2017-03-10,Friday,0,41,48
air_326ca454ef3558bc,2017-03-11,Saturday,0,6,41
air_326ca454ef3558bc,2017-03-12,Sunday,0,16,24
air_326ca454ef3558bc,2017-03-13,Monday,0,27,27
air_326ca454ef3558bc,2017-03-14,Tuesday,0,5,16
air_326ca454ef3558bc,2017-03-15,Wednesday,0,21,28
air_326ca454ef3558bc,2017-03-16,Thursday,0,23,28
air_326ca454ef3558bc,2017-03-17,Friday,0,4,21
air_326ca454ef3558bc,2017-03-18,Saturday,0,55,72
air_326ca454ef3558bc,2017-03-19,Sunday,0,4,23
air_326ca454ef3558bc,2017-03-20,Monday,1,42,50
air_326ca454ef3558bc,2017-03-21,Tuesday,0,0,10
air_326ca454ef3558bc,2017-03-22,Wednesday,0,8,16
air_326ca454ef3558bc,2017-03-23,Thursday,0,9,15
air_326ca454ef3558bc,2017-03-24,Friday,0,39,62
air_326ca454ef3558bc,2017-03-25,Saturday,0,42,72
air_326ca454ef3558bc,2017-03-26,Sunday,0,18,26
air_326ca454ef3558bc,2017-03-27,Monday,0,5,13
air_326ca454ef3558bc,2017-03-28,Tuesday,0,8,27
air_326ca454ef3558bc,2017-03-29,Wednesday,0,66,66
air_326ca454ef3558bc,2017-03-30,Thursday,0,14,25
air_326ca454ef3558bc,2017-03-31,Friday,0,23,45
